Volume ID	Volume Name	Volume Mass
4328	SiBoard	2.33e-06
4329	FiberSiPM	1.169e-06
4330	SiBoard	2.33e-06
4331	Fiber	0.00260055
4332	FiberSiPM	1.169e-06
4333	SiBoard	2.33e-06
4334	FiberSiPM	1.169e-06
4335	SiBoard	2.33e-06
4336	Fiber	0.00260055
4337	FiberSiPM	1.169e-06
4338	SiBoard	2.33e-06
4339	FiberSiPM	1.169e-06
4340	SiBoard	2.33e-06
4341	Fiber	0.00260055
4342	FiberSiPM	1.169e-06
4343	SiBoard	2.33e-06
4344	FiberSiPM	1.169e-06
4345	SiBoard	2.33e-06
4346	Fiber	0.00260055
4347	FiberSiPM	1.169e-06
4348	SiBoard	2.33e-06
4349	FiberSiPM	1.169e-06
4350	SiBoard	2.33e-06
4351	Fiber	0.00260055
4352	FiberSiPM	1.169e-06
4353	SiBoard	2.33e-06
4354	FiberSiPM	1.169e-06
4355	SiBoard	2.33e-06
4356	Fiber	0.00260055
4357	FiberSiPM	1.169e-06
4358	SiBoard	2.33e-06
4359	FiberSiPM	1.169e-06
4360	SiBoard	2.33e-06
4361	Fiber	0.00260055
4362	FiberSiPM	1.169e-06
4363	SiBoard	2.33e-06
4364	FiberSiPM	1.169e-06
4365	SiBoard	2.33e-06
4366	Fiber	0.00260055
4367	FiberSiPM	1.169e-06
4368	SiBoard	2.33e-06
4369	FiberSiPM	1.169e-06
4370	SiBoard	2.33e-06
4371	Fiber	0.00260055
4372	FiberSiPM	1.169e-06
4373	SiBoard	2.33e-06
4374	FiberSiPM	1.169e-06
4375	SiBoard	2.33e-06
4376	Fiber	0.00260055
4377	FiberSiPM	1.169e-06
4378	SiBoard	2.33e-06
4379	FiberSiPM	1.169e-06
4380	SiBoard	2.33e-06
4381	Fiber	0.00260055
